#domain,ioc
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain
a.osslog.com,Possible Cobalt Strike C2 Domain
a.verbinding-voor-cobalt.nl,Possible Cobalt Strike C2 Domain
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain
aaa.pikapiaa.top.w.cdngslb.com,Possible Cobalt Strike C2 Domain
activity.quicksmartmoney.com,Possible Cobalt Strike C2 Domain
anservusa.com,Possible Cobalt Strike C2 Domain
api.0nedriveup.com,Possible Cobalt Strike C2 Domain
api.office-updates.org,Possible Cobalt Strike C2 Domain
api.upgrad3.cc,Possible Cobalt Strike C2 Domain
aspmx5.googlemail.clsr.ca,Possible Cobalt Strike C2 Domain
bibogajan.network,Possible Cobalt Strike C2 Fronted Domain
block.health-degree.com,Possible Cobalt Strike C2 Domain
bot.douosadgaadonline.org,Possible Cobalt Strike C2 Domain
c2.marfei.zone,Possible Cobalt Strike C2 Domain
cache.thorjane.com,Possible Cobalt Strike C2 Domain
campaign.dchalegal.com,Possible Cobalt Strike C2 Domain
cc.cert-ex.net,Possible Cobalt Strike C2 Domain
cdn.amazon-shopping.nl,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.microsoft-hk.com,Possible Cobalt Strike C2 Domain
cdn.ndgnetlabs.com,Possible Cobalt Strike C2 Domain
cdn.suiteb.io,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
cityoall.com,Possible Cobalt Strike C2 Domain
clouds.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
cms.credsera.org,Possible Cobalt Strike C2 Domain
code.jquery.com,Possible Cobalt Strike C2 Fronting Domain
code.jsdel1vr.com,Possible Cobalt Strike C2 Domain
contact.mwam.support,Possible Cobalt Strike C2 Domain
d1am0nd.ddns.net,Possible Cobalt Strike C2 Domain
d36nuygiqfjnnv.cloudfront.net,Possible Cobalt Strike C2 Domain
databasewebdevelopment.com,Possible Cobalt Strike C2 Domain
dc.sunsetwxllc.com,Possible Cobalt Strike C2 Domain
demandonet.com,Possible PoshC2 Domain
dentaldev.azureedge.net,Possible Cobalt Strike C2 Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dns.checkavail.space,Possible Cobalt Strike C2 Domain
dns.cityoall.com,Possible Cobalt Strike C2 Domain
dns.cstest.buzz,Possible Cobalt Strike C2 Domain
dns.forcorpor.com,Possible Cobalt Strike C2 Domain
dns.greypsecurity.training,Possible Cobalt Strike C2 Domain
dns.incididunt.com,Possible Cobalt Strike C2 Domain
dns.microsofts.live,Possible Cobalt Strike C2 Domain
dns.ncats.link,Possible Cobalt Strike C2 Domain
dns.noranekoheart.top,Possible Cobalt Strike C2 Domain
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
dns.ringatpstul.com,Possible Cobalt Strike C2 Domain
dnslog.twittermisc.com,Possible Cobalt Strike C2 Domain
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain
do1qi.ntttd.com,Possible PoshC2 Domain
doc.bluework.ink,Possible Cobalt Strike C2 Domain
domline.online,Possible Cobalt Strike C2 Domain
dot.healthtricks101.com,Possible Cobalt Strike C2 Domain
download.windowsupdate.mom,Possible Cobalt Strike C2 Domain
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain
easycard-t.sumikuma.tw,Possible Cobalt Strike C2 Domain
enc.jsdel1vr.com,Possible Cobalt Strike C2 Domain
equal.fairtaxcolorado.org,Possible Cobalt Strike C2 Domain
exchange1.microsoftser.top,Possible Cobalt Strike C2 Domain
exchange2.microsoftser.top,Possible Cobalt Strike C2 Domain
exchanges1.microsoftser.top,Possible Cobalt Strike C2 Domain
exchanges2.microsoftser.top,Possible Cobalt Strike C2 Domain
extreme.enove-dental.com,Possible Cobalt Strike C2 Domain
forcorpor.com,Possible Cobalt Strike C2 Domain
hardcorearrpa.viewdns.net,Possible Cobalt Strike C2 Domain
high.ehealthnutrition.com,Possible Cobalt Strike C2 Domain
hw.chintelecom.com.cn,Possible Cobalt Strike C2 Domain
iane.initiativeus.com,Possible Cobalt Strike C2 Domain
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain
igo0gle.com,Possible Cobalt Strike C2 Domain
incididunt.com,Possible Cobalt Strike C2 Domain
india.tosoh.cloudns.ph,Possible Cobalt Strike C2 Domain
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain
jt.tnnd.ml,Possible Cobalt Strike C2 Domain
leno.initiativeus.com,Possible Cobalt Strike C2 Domain
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain
m1.icbcbc.com.cn,Possible Cobalt Strike C2 Domain
m2.icbcbc.com.cn,Possible Cobalt Strike C2 Domain
mahamaya1ifesciences.com,Possible Cobalt Strike C2 Fronting Domain
mail.cncb.info,Possible Cobalt Strike C2 Domain
manager.moonlighter.space,Possible Cobalt Strike C2 Domain
many.praccountingandtax.com,Possible Cobalt Strike C2 Domain
microsoft.updatestore.live,Possible Cobalt Strike C2 Fronted Domain
microsofts.live,Possible Cobalt Strike C2 Domain
mom.pain.capetown,Possible Cobalt Strike C2 Domain
netskope0.azureedge.net,Possible Cobalt Strike C2 Domain
ns.checkavail.space,Possible Cobalt Strike C2 Domain
ns.manager.moonlighter.space,Possible Cobalt Strike C2 Domain
ns.mydhx.top,Possible Cobalt Strike C2 Domain
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain
ns1.163microsoft.com,Possible Cobalt Strike C2 Domain
ns1.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain
ns1.ace3.ru,Possible Cobalt Strike C2 Domain
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
ns1.anaitea.com,Possible Cobalt Strike C2 Domain
ns1.baidu12366.xyz,Possible Cobalt Strike C2 Domain
ns1.beta-microsoft.com,Possible Cobalt Strike C2 Domain
ns1.bookworld-langchao.work,Possible Cobalt Strike C2 Fronted Domain
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Domain
ns1.dnslogik.com,Possible Cobalt Strike C2 Domain
ns1.domainsec.club,Possible Cobalt Strike C2 Domain
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns1.ga0.co,Possible Cobalt Strike C2 Domain
ns1.goporsche.de,Possible Cobalt Strike C2 Domain
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain
ns1.mikrokredit.shop,Possible Cobalt Strike C2 Domain
ns1.pycharm-edu.us,Possible Cobalt Strike C2 Domain
ns1.sangfor911.top,Possible Cobalt Strike C2 Domain
ns1.sangforssl.xyz,Possible Cobalt Strike C2 Domain
ns1.siegemachine.cn,Possible Cobalt Strike C2 Domain
